store_id,item_id,avg_forecast_demand,max_forecast_demand,demand_std,demand_buffer,recommended_stock,demand_category
store_5,item_47,30.64481255807954,51.07514396447722,12.548171613184422,19.85580908906496,51,High
store_34,item_39,30.24723658152568,46.86441470178584,7.646781778038447,19.85580908906496,50,High
store_22,item_25,30.604402122321723,49.009656282110136,10.52121706615259,19.85580908906496,50,High
store_29,item_13,30.540297867282728,51.18766159452024,13.140981937141289,19.85580908906496,50,High
store_29,item_47,30.63262921692664,51.18766159452024,12.428837588502718,19.85580908906496,50,High
store_38,item_26,30.305975873815758,51.07514396447722,6.955403880842598,19.85580908906496,50,High
store_33,item_12,30.589414512998843,51.07514396447722,9.947568355111471,19.85580908906496,50,High
store_25,item_35,30.57193480693637,46.86441470178584,6.922645599444595,19.85580908906496,50,High
store_2,item_12,30.447145493712533,51.07514396447722,9.564238985900811,19.85580908906496,50,High
store_6,item_16,30.431552906374893,51.18766159452024,3.8539157884225745,19.85580908906496,50,High
store_45,item_1,28.646795008303066,53.70714454674897,9.888160531566424,19.85580908906496,49,High
store_19,item_17,29.237916338868153,49.920141267770745,9.891301606447342,19.85580908906496,49,High
store_24,item_34,28.696520555532754,46.66672617834812,8.281709904096749,19.85580908906496,49,High
store_38,item_41,28.98132977760239,53.495072681541714,6.01364321588535,19.85580908906496,49,High
store_31,item_25,29.221767948286764,45.64127405445196,8.284864988827982,19.85580908906496,49,High
store_8,item_13,29.10870853724085,45.64127405445196,8.864332120311035,19.85580908906496,49,High
store_30,item_42,28.807409513903245,49.920141267770745,6.85657290959729,19.85580908906496,49,High
store_3,item_39,29.153435639340756,51.09161101225943,6.685649500392633,19.85580908906496,49,High
store_1,item_8,29.266810871343143,44.16322760499265,6.598538953599257,19.85580908906496,49,High
store_31,item_12,29.511690006945706,51.09161101225943,8.62741490565879,19.85580908906496,49,High
store_30,item_38,29.221975813160068,51.09161101225943,9.607056127721817,19.85580908906496,49,High
store_12,item_45,28.801015440500986,45.82553286863301,8.847054482154851,19.85580908906496,49,High
store_5,item_33,28.995970554250007,51.09161101225943,10.167444634089009,19.85580908906496,49,High
store_14,item_16,28.775198524978904,46.66672617834812,4.15781787876146,19.85580908906496,49,High
store_35,item_7,28.134591638149764,50.20946111805504,5.985903989113132,19.85580908906496,48,High
store_11,item_1,27.97042627243277,45.00752639957184,10.00745742366568,19.85580908906496,48,High
store_12,item_37,27.656599751488557,46.19602168856439,11.345017944858501,19.85580908906496,48,High
store_14,item_5,28.642896462010807,46.66672617834812,10.502167749621862,19.85580908906496,48,High
store_21,item_7,28.10764945565395,53.52218421144051,5.692773321693339,19.85580908906496,48,High
store_50,item_1,28.147749495142733,53.70714454674897,10.311333197128754,19.85580908906496,48,High
store_48,item_17,27.815644341363935,44.321503882154325,8.207476787647176,19.85580908906496,48,High
store_28,item_14,28.584587272304145,46.66672617834812,10.827839131670954,19.85580908906496,48,High
store_43,item_35,28.34703064451667,53.52218421144051,7.5087479670256405,19.85580908906496,48,High
store_43,item_32,28.577525686440154,46.66672617834812,7.74459974024559,19.85580908906496,48,High
store_33,item_23,28.140392159436587,47.892772846907306,10.48303565711113,19.85580908906496,48,High
store_19,item_34,28.159590777582135,48.165913424635015,10.254829538647352,19.85580908906496,48,High
store_4,item_33,28.280168914504745,50.54448590210879,11.79015358462567,19.85580908906496,48,High
store_12,item_1,28.334713829471536,51.23549709730901,10.914384195689168,19.85580908906496,48,High
store_36,item_8,27.892598767482113,48.63429938548229,6.519402844384956,19.85580908906496,48,High
store_37,item_47,28.573229684803334,41.49666065999533,9.43452100030034,19.85580908906496,48,High
store_43,item_3,28.50217886864002,39.45375678691329,5.686697682294799,19.85580908906496,48,High
store_13,item_13,28.441283341869443,52.47540226105099,10.550509812600211,19.85580908906496,48,High
store_22,item_5,28.07438884780124,46.15948929514571,10.677521891653193,19.85580908906496,48,High
store_6,item_14,28.494179532245965,59.80624122185476,8.419133025604669,19.85580908906496,48,High
store_19,item_10,27.732760258774697,48.63429938548229,9.337217164462675,19.85580908906496,48,High
store_30,item_26,28.295669303180258,59.80624122185476,9.122714778112076,19.85580908906496,48,High
store_39,item_15,27.903545005365324,46.15948929514571,5.514681047559134,19.85580908906496,48,High
store_19,item_33,27.947928897272277,53.52218421144051,11.25708641414461,19.85580908906496,48,High
store_19,item_31,28.157017676574103,59.80624122185476,9.057495330821572,19.85580908906496,48,High
store_39,item_1,27.758062278287852,50.56753340729517,11.335380581797363,19.85580908906496,48,High
store_21,item_40,28.37338792641688,52.47540226105099,9.303008809798136,19.85580908906496,48,High
store_49,item_14,27.984880661678048,45.00752639957184,10.783860021736231,19.85580908906496,48,High
store_28,item_39,28.25118591724504,51.990735327219646,8.83610268274989,19.85580908906496,48,High
store_40,item_6,28.255284295251496,52.23988062412696,6.330591120833658,19.85580908906496,48,High
store_41,item_12,28.000423028666486,45.00752639957184,10.101867407210083,19.85580908906496,48,High
store_21,item_10,27.774426363245144,44.73705659030898,9.636811697892691,19.85580908906496,48,High
store_42,item_39,28.5439355916405,53.70714454674897,7.143721522216574,19.85580908906496,48,High
store_41,item_2,27.72442229628242,51.13160515326148,6.10873010629238,19.85580908906496,48,High
store_7,item_3,28.27508849537951,53.52218421144051,5.895895379295017,19.85580908906496,48,High
store_29,item_48,28.359156258747905,48.165913424635015,5.114511937539125,19.85580908906496,48,High
store_1,item_30,27.945135474928065,52.23988062412696,5.839125861734407,19.85580908906496,48,High
store_31,item_15,27.823762728875572,42.1351717675854,4.54564245059674,19.85580908906496,48,High
store_7,item_45,27.75748541604082,44.321503882154325,7.167074142913317,19.85580908906496,48,High
store_9,item_42,27.95295354891775,50.95332242368488,6.619005803269181,19.85580908906496,48,High
store_30,item_13,28.103166716363578,52.23988062412696,11.36253278729534,19.85580908906496,48,High
store_21,item_24,27.78315597899586,43.79503958231244,4.649652485372974,19.85580908906496,48,High
store_49,item_31,28.562167182806434,46.74305699666415,9.290625504336075,19.85580908906496,48,High
store_27,item_4,27.665210729300586,49.189136331091255,4.440935198887983,19.85580908906496,48,High
store_44,item_13,28.594665248032516,46.66672617834812,10.755180753640463,19.85580908906496,48,High
store_4,item_12,27.926515498254776,43.24927970169389,10.14901446714469,19.85580908906496,48,High
store_22,item_35,28.285308043499224,45.783893900611645,6.952830843301643,19.85580908906496,48,High
store_45,item_14,26.969312153487813,47.5617467686618,9.156422600537251,19.85580908906496,47,High
store_18,item_32,27.452414403456388,46.19602168856439,7.341901002805501,19.85580908906496,47,High
store_45,item_25,26.918766832101323,47.89239109009987,8.718654611097262,19.85580908906496,47,High
store_19,item_2,26.740600630867647,53.24935703297513,5.732159820946826,19.85580908906496,47,High
store_18,item_43,26.650722897694653,50.23042869906299,6.366748732863379,19.85580908906496,47,High
store_19,item_20,26.671989199733893,51.89990009019797,9.120622931108443,19.85580908906496,47,High
store_19,item_1,27.578266170745586,48.63429938548229,11.377870089512273,19.85580908906496,47,High
store_9,item_12,27.247436361652742,44.69237154003034,9.023607208403757,19.85580908906496,47,High
store_30,item_12,27.297068032677686,45.95919661079929,10.342436631948184,19.85580908906496,47,High
store_7,item_34,26.770538183351253,50.62920172896551,8.820616684139752,19.85580908906496,47,High
store_30,item_33,27.34153239133641,44.33945067648938,12.408443503636597,19.85580908906496,47,High
store_24,item_13,26.804130106407644,47.50583714548336,7.965587366039381,19.85580908906496,47,High
store_24,item_10,26.796590341088937,46.30853931860741,8.00635105171024,19.85580908906496,47,High
store_39,item_14,26.7898944026573,42.88985698113425,9.997360960873175,19.85580908906496,47,High
store_45,item_8,26.828763267154663,50.23042869906299,6.622414906018457,19.85580908906496,47,High
store_36,item_33,27.57666649814934,45.71064563681719,7.547708008055386,19.85580908906496,47,High
store_17,item_44,27.213810871128352,47.318834961522775,3.732243937464855,19.85580908906496,47,High
store_26,item_20,26.8361405185383,48.4508422982757,7.0243441872948065,19.85580908906496,47,High
store_36,item_40,27.57971111276241,47.211410847001446,8.350040866136164,19.85580908906496,47,High
store_3,item_2,26.892238501015992,48.29116412000239,5.519848523854686,19.85580908906496,47,High
store_23,item_23,27.025755864407557,50.177126392245846,11.095574986083355,19.85580908906496,47,High
